Seq,SOMAS_ID_round1,SOMAS_ID_round2,ColCheck_r1,ColCheck_r2,Organism,CV_r1,CV_r2
10000-28,CRYBB2.10000.28.3,CRYBB2.10000.28.3,PASS,PASS,Human,4.04946118030955,5.04181273480244
10006-25,ELK1.10006.25.3,ELK1.10006.25.3,PASS,PASS,Human,6.8313278848411,4.27186734216059
10008-43,GUCA1A.10008.43.3,GUCA1A.10008.43.3,PASS,PASS,Human,4.25938731920468,10.6680179450643
10009-2,IRF1.10009.2.3,IRF1.10009.2.3,PASS,PASS,Human,4.78084183902592,5.08383003311848
10011-65,OCRL.10011.65.3,OCRL.10011.65.3,PASS,PASS,Human,4.8762619709814,12.9140179548259
10013-34,KIAA0319.10013.34.3,KIAA0319.10013.34.3,PASS,PASS,Human,5.20272547239158,7.4070300571394
10014-31,SNAI2.10014.31.3,SNAI2.10014.31.3,PASS,PASS,Human,2.94184703881768,8.69504299776304
10015-119,KCNAB2.10015.119.3,KCNAB2.10015.119.3,PASS,PASS,Human,7.37685402766972,4.81590369721096
10021-1,SUSD2.10021.1.3,SUSD2.10021.1.3,PASS,PASS,Human,4.14552384624,9.85062395512456
10022-207,POLH.10022.207.3,POLH.10022.207.3,PASS,PASS,Human,2.73343475807478,5.15755900209725
10024-44,HOGA1.10024.44.3,HOGA1.10024.44.3,PASS,PASS,Human,4.60320504259499,4.00301568556955
10025-1,DLD.10025.1.3,DLD.10025.1.3,PASS,PASS,Human,2.39648030611847,9.1447981947058
10030-8,MUTYH.10030.8.3,MUTYH.10030.8.3,PASS,PASS,Human,6.41116755234478,4.89431797924547
10034-16,FRK.10034.16.3,FRK.10034.16.3,PASS,PASS,Human,5.4963810853861,6.15013991293832
10035-6,DUSP4.10035.6.3,DUSP4.10035.6.3,PASS,PASS,Human,4.77231062740528,7.00788960738241
10036-201,ZHX3.10036.201.3,ZHX3.10036.201.3,PASS,PASS,Human,15.539715332651,7.80043029032584
10037-98,SIGLEC12.10037.98.3,SIGLEC12.10037.98.3,PASS,PASS,Human,3.52977429402401,6.10765974792469
10039-32,PNP.10039.32.3,PNP.10039.32.3,PASS,PASS,Human,4.77381847800396,3.962458777751
10040-63,TP63.10040.63.3,TP63.10040.63.3,PASS,PASS,Human,3.31677117193359,11.3944369211722
10041-3,HNF4A.10041.3.3,HNF4A.10041.3.3,PASS,PASS,Human,13.7166442400364,10.5392421883718
10045-47,CUL3.10045.47.3,CUL3.10045.47.3,PASS,PASS,Human,6.70078345128768,10.7654878256632
10047-12,NCF2.10047.12.3,NCF2.10047.12.3,PASS,PASS,Human,7.38689211171256,9.56682096270418
10048-7,CBFB.10048.7.3,CBFB.10048.7.3,PASS,PASS,Human,10.3071935621037,7.77712587515106
10054-3,GAN.10054.3.3,GAN.10054.3.3,PASS,PASS,Human,3.9705256914185,4.5764659046902
10058-1,RAD23A.10058.1.3,RAD23A.10058.1.3,PASS,PASS,Human,6.9892727500296,6.24972807988619
10063-10,FANCL.10063.10.3,FANCL.10063.10.3,PASS,PASS,Human,3.87537903418652,15.1512398325492
10073-22,TDP1.10073.22.3,TDP1.10073.22.3,PASS,PASS,Human,4.18879493994278,4.27081612246362
10075-75,ACBD6.10075.75.3,ACBD6.10075.75.3,PASS,PASS,Human,18.8301379721002,12.5573267659917
10076-1,AP4M1.10076.1.3,AP4M1.10076.1.3,PASS,PASS,Human,3.65167728666051,6.23892830091872
10078-5,BAG3.10078.5.3,BAG3.10078.5.3,PASS,PASS,Human,4.09444025414641,6.00776856470726
10080-9,EIF2B1.10080.9.3,EIF2B1.10080.9.3,PASS,PASS,Human,8.4642793930724,10.9905446146458
10081-17,SATB2.10081.17.3,SATB2.10081.17.3,PASS,PASS,Human,8.03849081050197,4.8466624438998
10085-25,STAR.10085.25.3,STAR.10085.25.3,PASS,PASS,Human,4.84394876863097,5.83076783225521
10086-39,CBS.10086.39.3,CBS.10086.39.3,PASS,PASS,Human,4.57606024595488,6.79193588088376
10087-10,CRYAA.10087.10.3,CRYAA.10087.10.3,PASS,PASS,Human,4.17499432972815,12.9462059018574
10089-7,ASMTL.10089.7.3,ASMTL.10089.7.3,PASS,PASS,Human,3.13067066399449,6.02085715735931
10337-83,CEBPB.10337.83.3,CEBPB.10337.83.3,PASS,PASS,Human,13.0109692668605,10.6984341064392
10339-48,ENO2.10339.48.3,ENO2.10339.48.3,PASS,PASS,Human,13.8682437633333,15.5843933287
10346-5,STAT3.10346.5.3,STAT3.10346.5.3,PASS,PASS,Human,7.80096728455109,3.50051180201877
10351-51,IRF1.10351.51.3,IRF1.10351.51.3,PASS,PASS,Human,6.35488147849021,7.18266769558434
10356-21,JUN.10356.21.3,JUN.10356.21.3,PASS,PASS,Human,6.20861472364528,8.69596724716356
10358-33,MCL1.10358.33.3,MCL1.10358.33.3,PASS,PASS,Human,4.18356308619032,5.3990591044383
10361-25,OAS1.10361.25.3,OAS1.10361.25.3,PASS,PASS,Human,5.39681989486427,4.56549621482174
10362-35,MYC.10362.35.3,MYC.10362.35.3,PASS,PASS,Human,5.03865535336168,4.55678476025262
10364-6,SMAD2.10364.6.3,SMAD2.10364.6.3,PASS,PASS,Human,10.2159176620131,5.32829556480672
10365-132,IL12B.IL23A.10365.132.3,IL12B.IL23A.10365.132.3,PASS,PASS,Human,4.11838200143724,7.3067273830266
10366-11,PDGFRA.10366.11.3,PDGFRA.10366.11.3,PASS,PASS,Human,4.33136204077649,10.3132748742572
10367-26,IL12A.IL12B.10367.26.3,IL12A.IL12B.10367.26.3,PASS,PASS,Human,4.09415764868249,14.5980078826969
10367-62,IL12A.IL12B.10367.62.3,IL12A.IL12B.10367.62.3,PASS,PASS,Human,5.69692172245705,5.24114613635286
10370-21,STAT1.10370.21.3,STAT1.10370.21.3,PASS,PASS,Human,6.4341697074121,5.37258769157175
10372-18,STAT6.10372.18.3,STAT6.10372.18.3,PASS,PASS,Human,2.6555922374734,7.50147101089362
10416-79,MT1F.10416.79.3,MT1F.10416.79.3,PASS,PASS,Human,7.79992629117657,6.10977395231526
10419-1,SCARA5.10419.1.3,SCARA5.10419.1.3,PASS,PASS,Human,4.10462943899425,3.63891242688506
10424-31,NPDC1.10424.31.3,NPDC1.10424.31.3,PASS,PASS,Human,10.3205428564086,7.34102258459151
10425-3,B4GALT5.10425.3.3,B4GALT5.10425.3.3,PASS,PASS,Human,3.89775844679873,3.82289737371838
10427-2,KCNE2.10427.2.3,KCNE2.10427.2.3,PASS,PASS,Human,9.2553100750905,9.8502521676725
10428-1,KIR2DS2.10428.1.3,KIR2DS2.10428.1.3,PASS,PASS,Human,9.01639515079756,12.3746844388618
10438-19,CSF2RA.10438.19.3,CSF2RA.10438.19.3,PASS,PASS,Human,5.53951269718148,3.30103588148568
10440-26,CLMP.10440.26.3,CLMP.10440.26.3,PASS,PASS,Human,3.87979147739461,7.03000858089806
10442-1,TMEM190.10442.1.3,TMEM190.10442.1.3,PASS,PASS,Human,4.37975263595758,9.09076982424048
10445-20,APOM.10445.20.3,APOM.10445.20.3,PASS,PASS,Human,8.73235093458316,5.2237341922528
10447-18,PABPC3.10447.18.3,PABPC3.10447.18.3,PASS,PASS,Human,4.20136077630784,4.91544799693736
10452-24,SYT3.10452.24.3,SYT3.10452.24.3,PASS,PASS,Human,7.00124841385029,6.75851276910589
10455-196,IL31.10455.196.3,IL31.10455.196.3,PASS,PASS,Human,3.01997843158501,4.55085690800491
10461-57,CLEC14A.10461.57.3,CLEC14A.10461.57.3,PASS,PASS,Human,4.43231466864638,19.9959776494334
10462-14,INSL5.10462.14.3,INSL5.10462.14.3,PASS,PASS,Human,4.56389889497748,6.1085648810537
10463-23,ALPI.10463.23.3,ALPI.10463.23.3,PASS,PASS,Human,4.84543543787112,5.34593903917874
10467-58,CTXN3.10467.58.3,CTXN3.10467.58.3,PASS,PASS,Human,4.77533513280954,5.09708390297374
