SeqId	Protein.(short.name)	Protein.(full.name)	Gene	Remark	Included.in.analysis	UniProt	Organism	Type	Ensembl.Gene.ID	Entrez.Gene.ID	HGNC.ID
10000_28	CRBB2	Beta-crystallin B2	CRYBB2	NA	Yes	P43320	human	Protein	ENSG00000244752	1415	HGNC:2398
10001_7	c-Raf	RAF proto-oncogene serine/threonine-protein kinase	RAF1	NA	Yes	P04049	human	Protein	ENSG00000132155	5894	HGNC:9829
10003_15	ZNF41	Zinc finger protein 41	ZNF41	NA	Yes	P51814	human	Protein	ENSG00000147124	7592	HGNC:13107
10006_25	ELK1	ETS domain-containing protein Elk-1	ELK1	NA	Yes	P19419	human	Protein	ENSG00000126767	2002	HGNC:3321
10008_43	GUC1A	Guanylyl cyclase-activating protein 1	GUCA1A	NA	Yes	P43080	human	Protein	ENSG00000048545	2978	HGNC:4678
10011_65	OCRL	Inositol polyphosphate 5-phosphatase OCRL-1	OCRL	NA	Yes	Q01968	human	Protein	ENSG00000122126	4952	HGNC:8108
10012_5	SPDEF	SAM pointed domain-containing Ets transcription factor	SPDEF	NA	Yes	O95238	human	Protein	ENSG00000124664	25803	HGNC:17257
10013_34	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10014_31	SLUG	Zinc finger protein SNAI2	SNAI2	NA	Yes	O43623	human	Protein	ENSG00000019549	6591	HGNC:11094
10015_119	KCAB2	Voltage-gated potassium channel subunit beta-2	KCNAB2	NA	Yes	Q13303	human	Protein	ENSG00000069424	8514	HGNC:6229
10021_1	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10022_207	POLH	DNA polymerase eta	POLH	NA	Yes	Q9Y253	human	Protein	ENSG00000170734	5429	HGNC:9181
10023_32	VDR	Vitamin D3 receptor	VDR	NA	Yes	P11473	human	Protein	ENSG00000111424	7421	HGNC:12679
10024_44	HOGA1	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	HOGA1	NA	Yes	Q86XE5	human	Protein	ENSG00000241935	112817	HGNC:25155
10030_8	MutY homolog	Adenine DNA glycosylase	MUTYH	NA	Yes	Q9UIF7	human	Protein	ENSG00000132781	4595	HGNC:7527
10034_16	Fc_MOUSE	NA	NA	Non-human protein	No	NA	mouse	Protein	NA	NA	NA
10035_6	DUS4	Dual specificity protein phosphatase 4	DUSP4	NA	Yes	Q13115	human	Protein	ENSG00000120875	1846	HGNC:3070
10036_201	ZHX3	Zinc fingers and homeoboxes protein 3	ZHX3	NA	Yes	Q9H4I2	human	Protein	ENSG00000174306	23051	HGNC:15935
10037_98	SIG12	Sialic acid-binding Ig-like lectin 12	SIGLEC12	NA	Yes	Q96PQ1	human	Protein	ENSG00000254521	89858	HGNC:15482
10040_63	P73L	Tumor protein 63	TP63	NA	Yes	Q9H3D4	human	Protein	ENSG00000073282	8626	HGNC:15979
10041_3	HNF4A	Hepatocyte nuclear factor 4-alpha	HNF4A	NA	Yes	P41235	human	Protein	ENSG00000101076	3172	HGNC:5024
10042_8	SGK3	Serine/threonine-protein kinase Sgk3	SGK3	NA	Yes	Q96BR1	human	Protein	ENSG00000104205	23678	HGNC:10812
10043_31	BRD4	Bromodomain-containing protein 4	BRD4	NA	Yes	O60885	human	Protein	ENSG00000141867	23476	HGNC:13575
10044_12	WN10A	Protein Wnt-10a	WNT10A	NA	Yes	Q9GZT5	human	Protein	ENSG00000135925	80326	HGNC:13829
10045_47	CUL3	Cullin-3	CUL3	NA	Yes	Q13618	human	Protein	ENSG00000036257	8452	HGNC:2553
10046_55	cIAP-1	Baculoviral IAP repeat-containing protein 2	BIRC2	NA	Yes	Q13490	human	Protein	ENSG00000110330	329	HGNC:590
10047_12	NCF-2	Neutrophil cytosol factor 2	NCF2	NA	Yes	P19878	human	Protein	ENSG00000116701	4688	HGNC:7661
10048_7	PEBB	Core-binding factor subunit beta	CBFB	NA	Yes	Q13951	human	Protein	ENSG00000067955	865	HGNC:1539
10049_112	TERF1	Telomeric repeat-binding factor 1	TERF1	NA	Yes	P54274	human	Protein	ENSG00000147601	7013	HGNC:11728
10053_5	ILK1	Integrin-linked protein kinase	ILK	NA	Yes	Q13418	human	Protein	ENSG00000166333	3611	HGNC:6040
10054_3	GAN	Gigaxonin	GAN	NA	Yes	Q9H2C0	human	Protein	ENSG00000127688	8139	HGNC:4137
