chr	start	end	ensGene	UniProt	symbol	TargetFullName	extGene	Target	UniProts	SOMAMER_ID
1	948803	949920	ENSG00000187608	P05161	ISG15	Ubiquitin-like protein ISG15	ISG15	UCRP	P05161	ISG15.14148.2.3
1	948803	949920	ENSG00000187608	P05161	ISG15	Ubiquitin-like protein ISG15	ISG15	UCRP	P05161	ISG15.14151.4.3
1	1138888	1142071	ENSG00000186891	Q9Y5U5	TNFRSF18	Tumor necrosis factor receptor superfamily member 18	TNFRSF18	GITR	Q9Y5U5	TNFRSF18.5526.53.3
1	1146706	1149518	ENSG00000186827	P43489	TNFRSF4	Tumor necrosis factor receptor superfamily member 4	TNFRSF4	TNR4	P43489	TNFRSF4.3730.81.2
1	1167629	1170421	ENSG00000176022	Q96L58	B3GALT6	Beta-1,3-galactosyltransferase 6	B3GALT6	B3GT6	Q96L58	B3GALT6.7981.230.3
1	1189289	1209265	ENSG00000160087	Q8N2K1	UBE2J2	Ubiquitin-conjugating enzyme E2 J2	UBE2J2	UB2J2	Q8N2K1	UBE2J2.6601.1.3
1	1189289	1209265	ENSG00000160087	Q8N2K1	UBE2J2	Ubiquitin-conjugating enzyme E2 J2	UBE2J2	UB2J2	Q8N2K1	UBE2J2.8802.24.3
1	1288069	1297157	ENSG00000162576	Q9BRK3	MXRA8	Matrix-remodeling-associated protein 8	MXRA8	MXRA8	Q9BRK3	MXRA8.10521.10.3
1	1288069	1297157	ENSG00000162576	Q9BRK3	MXRA8	Matrix-remodeling-associated protein 8	MXRA8	MXRA8	Q9BRK3	MXRA8.7002.1.3
1	1477053	1510249	ENSG00000160075	Q9NP77	SSU72	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	SSU72	SSU72	Q9NP77	SSU72.13566.2.3
1	1682671	1711896	ENSG00000008130	O95544	NADK	NAD kinase	NADK	NADK	O95544	NADK.13624.17.3
1	1849029	1850712	ENSG00000178821	Q8NDY8	TMEM52	Transmembrane protein 52	TMEM52	TMM52	Q8NDY8	TMEM52.11186.12.3
1	1981909	2116834	ENSG00000067606	Q05513	PRKCZ	Protein kinase C zeta type	PRKCZ	PKC-Z	Q05513	PRKCZ.2645.54.1
1	2487078	2496821	ENSG00000157873	Q92956	TNFRSF14	Tumor necrosis factor receptor superfamily member 14	TNFRSF14	HVEM	Q92956	TNFRSF14.5352.11.3
1	2522078	2564481	ENSG00000142606	Q495T6	MMEL1	Membrane metallo-endopeptidase-like 1	MMEL1	MMEL2	Q495T6	MMEL1.3627.71.4
1	6051526	6161253	ENSG00000069424	Q13303	KCNAB2	Voltage-gated potassium channel subunit beta-2	KCNAB2	KCAB2	Q13303	KCNAB2.10015.119.3
1	7831329	7841492	ENSG00000049245	Q15836	VAMP3	Vesicle-associated membrane protein 3	VAMP3	VAMP3	Q15836	VAMP3.7903.18.3
1	8014351	8045565	ENSG00000116288	Q99497	PARK7	Protein deglycase DJ-1	PARK7	PARK7	Q99497	PARK7.5016.61.2
1	8014351	8045565	ENSG00000116288	Q99497	PARK7	Protein deglycase DJ-1	PARK7	PARK7	Q99497	PARK7.9845.33.3
1	9005926	9035151	ENSG00000131686	P23280	CA6	Carbonic anhydrase 6	CA6	Carbonic anhydrase 6	P23280	CA6.3352.80.3
1	9294834	9331396	ENSG00000049239	O95479	H6PD	GDH/6PGL endoplasmic bifunctional protein	H6PD	G6PE	O95479	H6PD.7161.25.3
1	9352939	9429591	ENSG00000171621	Q96BD6	SPSB1	SPRY domain-containing SOCS box protein 1	SPSB1	SPSB1	Q96BD6	SPSB1.13942.140.3
1	10057264	10076078	ENSG00000162444	Q96R05	RBP7	Retinoid-binding protein 7	RBP7	RET7	Q96R05	RBP7.14208.3.3
1	10532345	10690815	ENSG00000142655	O75381	PEX14	Peroxisomal membrane protein PEX14	PEX14	PEX14	O75381	PEX14.8300.82.3
1	11249398	11256038	ENSG00000171819	O43827	ANGPTL7	Angiopoietin-related protein 7	ANGPTL7	ANGL7	O43827	ANGPTL7.6371.50.3
1	11905766	11908402	ENSG00000175206	P01160	NPPA	Atrial natriuretic factor	NPPA	ANP	P01160	NPPA.5443.62.2
1	11917521	11918988	ENSG00000120937	P16860	NPPB	Brain natriuretic peptide 32	NPPB	BNP-32	P16860	NPPB.3723.1.2
1	11917521	11918988	ENSG00000120937	P16860	NPPB	N-terminal pro-BNP	NPPB	N-terminal pro-BNP	P16860	NPPB.7655.11.3
1	11979648	11986485	ENSG00000116685	Q8IYS2	KIAA2013	Uncharacterized protein KIAA2013	KIAA2013	K2013	Q8IYS2	KIAA2013.6538.90.3
1	12123434	12204264	ENSG00000120949	P28908	TNFRSF8	Tumor necrosis factor receptor superfamily member 8	TNFRSF8	CD30	P28908	TNFRSF8.2605.49.2
