Seq	SOMAS_ID_round1	SOMAS_ID_round2	SeqId	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism	Type	ensembl_gene_id	mmusculus_homolog_ensembl_gene	chromosome_name	start_position	end_position	external_gene_name	Notes	chromosome_number	updated	best_position	Originalplex
11243-90	GPR110.11243.90.3	ADGRF1.11243.90.3	11243-90_3	SL019357	Adhesion G-protein coupled receptor F1	GPR110	Q5T601	NA	ADGRF1	Human	Protein	ENSG00000153292	ENSMUSG00000041293	6	46965440	47010099	GPR110	Build 37	6	0	1	0
11667-29	TENC1.11667.29.3	TNS2.11667.29.3	11667-29_3	SL019556	Tensin-2	TENC1	Q63HR2	NA	TNS2	Human	Protein	ENSG00000111077	ENSMUSG00000037003	12	53440753	53458156	TENC1	Build 37	12	0	1	0
12426-19	MOBKL1B.12426.19.3	MOB1A.12426.19.3	12426-19_3	SL016520	MOB kinase activator 1A	MOL1B	Q9H8S9	55233	MOB1A	Human	Protein	ENSG00000114978	ENSMUSG00000043131	2	74379655	74406025	MOB1A	Build 37	2	0	1	0
12434-25	KIAA0174.12434.25.3	IST1.12434.25.3	12434-25_3	SL008617	IST1 homolog	K0174	P53990	9798	IST1	Human	Protein	ENSG00000182149	ENSMUSG00000031729	16	71879899	71962913	IST1	Build 37	16	0	1	0
12458-79	CHP.12458.79.3	CHP1.12458.79.3	12458-79_3	SL016506	Calcineurin B homologous protein 1	CHP1	Q99653	NA	CHP1	Human	Protein	ENSG00000187446	ENSMUSG00000014077	15	41523037	41574043	CHP1	Build 37	15	0	1	0
12549-33	PTGDS2.12549.33.3	HPGDS.12549.33.3	12549-33_3	SL014636	Hematopoietic prostaglandin D synthase	PTGD2	O60760	27306	HPGDS	Human	Protein	ENSG00000163106	ENSMUSG00000029919	4	95219686	95264027	HPGDS	Build 37	4	0	1	0
12786-61	GDE5.12786.61.3	GPCPD1.12786.61.3	12786-61_3	SL015257	Glycerophosphocholine phosphodiesterase GPCPD1	GDE5	Q9NPB8	56261	GPCPD1	Human	Protein	ENSG00000125772	ENSMUSG00000027346	20	5525085	5591672	GPCPD1	Build 37	20	0	1	0
12859-33	PECI.12859.33.3	ECI2.12859.33.3	12859-33_3	SL007038	Enoyl-CoA delta isomerase 2, mitochondrial	PECI	O75521	10455	ECI2	Human	Protein	ENSG00000198721	ENSMUSG00000021416	6	4115923	4135831	ECI2	Build 37	6	0	1	0
12859-33	PECI.12859.33.3	ECI2.12859.33.3	12859-33_3	SL007038	Enoyl-CoA delta isomerase 2, mitochondrial	PECI	O75521	10455	ECI2	Human	Protein	ENSG00000198721	ENSMUSG00000021417	6	4115923	4135831	ECI2	Build 37	6	0	1	0
13230-174	null.13230.174.3	NoneX.13230.174.3	13230-174_3	SL019999	NA	IgG2, Kappa	P01859	NA	NA	Human	Protein	ENSG00000211893	ENSMUSG00000076613	14	106109389	106111127	IGHG2	Build 37	14	0	1	0
13230-174	null.13230.174.3	NoneX.13230.174.3	13230-174_3	SL019999	NA	IgG2, Kappa	P01859	NA	NA	Human	Protein	ENSG00000211893	ENSMUSG00000076615	14	106109389	106111127	IGHG2	Build 37	14	0	1	0
13230-174	null.13230.174.3	NoneX.13230.174.3	13230-174_3	SL019999	NA	IgG2, Kappa	P01859	NA	NA	Human	Protein	ENSG00000211893	ENSMUSG00000076614	14	106109389	106111127	IGHG2	Build 37	14	0	1	0
13230-174	null.13230.174.3	NoneX.13230.174.3	13230-174_3	SL019999	NA	IgG2, Kappa	P01859	NA	NA	Human	Protein	ENSG00000211893	ENSMUSG00000076612	14	106109389	106111127	IGHG2	Build 37	14	0	1	0
13230-174	null.13230.174.3	NoneX.13230.174.3	13230-174_3	SL019999	NA	IgG2, Kappa	P01859	NA	NA	Human	Protein	ENSG00000270895	NA	HG1592_PATCH	106109389	106111127	IGHG2	Build 37	14	0	0	0
13231-90	null.13231.90.3	NoneX.13231.90.3	13231-90_3	SL020001	NA	IgG4, Kappa	P01861	NA	NA	Human	Protein	ENSG00000211892	ENSMUSG00000076614	14	106090687	106092403	IGHG4	Build 37	14	0	1	0
13231-90	null.13231.90.3	NoneX.13231.90.3	13231-90_3	SL020001	NA	IgG4, Kappa	P01861	NA	NA	Human	Protein	ENSG00000211892	ENSMUSG00000076615	14	106090687	106092403	IGHG4	Build 37	14	0	1	0
13231-90	null.13231.90.3	NoneX.13231.90.3	13231-90_3	SL020001	NA	IgG4, Kappa	P01861	NA	NA	Human	Protein	ENSG00000211892	ENSMUSG00000076613	14	106090687	106092403	IGHG4	Build 37	14	0	1	0
13231-90	null.13231.90.3	NoneX.13231.90.3	13231-90_3	SL020001	NA	IgG4, Kappa	P01861	NA	NA	Human	Protein	ENSG00000211892	ENSMUSG00000076612	14	106090687	106092403	IGHG4	Build 37	14	0	1	0
13231-90	null.13231.90.3	NoneX.13231.90.3	13231-90_3	SL020001	NA	IgG4, Kappa	P01861	NA	NA	Human	Protein	ENSG00000270498	NA	HG1592_PATCH	106090687	106092403	IGHG4	Build 37	14	0	0	0
13423-94	C10orf58.13423.94.3	FAM213A.13423.94.3	13423-94_3	SL008291	Redox-regulatory protein FAM213A	CJ058	Q9BRX8	84293	FAM213A	Human	Protein	ENSG00000122378	ENSMUSG00000021792	10	82167585	82192753	FAM213A	Build 37	10	0	1	0
13516-46	TMEM85.13516.46.3	EMC4.13516.46.3	13516-46_3	SL016509	ER membrane protein complex subunit 4	TMM85	Q5J8M3	51234	EMC4	Human	Protein	ENSG00000128463	ENSMUSG00000027131	15	34517200	34522357	EMC4	Build 37	15	0	1	0
14149-9	IL1F8.14149.9.3	IL36B.14149.9.3	14149-9_3	SL005179	Interleukin-36 beta	IL-1F8	Q9NZH7	27177	IL36B	Human	Protein	ENSG00000136696	ENSMUSG00000026985	2	113779668	113810444	IL36B	Build 37	2	0	1	0
14614-41	C1orf130.14614.41.3	NCMAP.14614.41.3	14614-41_3	SL008890	Noncompact myelin-associated protein	CA130	Q5T1S8	400746	NCMAP	Human	Protein	ENSG00000184454	ENSMUSG00000043924	1	24882602	24935819	NCMAP	Build 37	1	0	1	0
2765-4	GDF11.2765.4.3	GDF11.MSTN.2765.4.3	2765-4_3	SL021043	Growth/differentiation factor 11/8	GDF-11/8	O95390	NA	GDF11 MSTN	Human	Protein	ENSG00000135414	ENSMUSG00000025352	12	56137064	56150911	GDF11	Build 37	12	0	1	1
2765-4	GDF11.2765.4.3	GDF11.MSTN.2765.4.3	2765-4_3	SL021043	Growth/differentiation factor 11/8	GDF-11/8	O14793	NA	GDF11 MSTN	Human	Protein	ENSG00000138379	ENSMUSG00000026100	2	190920423	190927455	MSTN	Build 37	2	0	1	1
3580-25	SERPINA1.3580.25.8	SERPINA1.3580.25.5	3580-25_5	SL000249	Alpha-1-antitrypsin	a1-Antitrypsin	P01009	5265	SERPINA1	Human	Protein	ENSG00000197249	ENSMUSG00000072849	14	94843084	94857030	SERPINA1	Build 37	14	0	1	1
3580-25	SERPINA1.3580.25.8	SERPINA1.3580.25.5	3580-25_5	SL000249	Alpha-1-antitrypsin	a1-Antitrypsin	P01009	5265	SERPINA1	Human	Protein	ENSG00000197249	ENSMUSG00000071178	14	94843084	94857030	SERPINA1	Build 37	14	0	1	1
3580-25	SERPINA1.3580.25.8	SERPINA1.3580.25.5	3580-25_5	SL000249	Alpha-1-antitrypsin	a1-Antitrypsin	P01009	5265	SERPINA1	Human	Protein	ENSG00000197249	ENSMUSG00000066366	14	94843084	94857030	SERPINA1	Build 37	14	0	1	1
3580-25	SERPINA1.3580.25.8	SERPINA1.3580.25.5	3580-25_5	SL000249	Alpha-1-antitrypsin	a1-Antitrypsin	P01009	5265	SERPINA1	Human	Protein	ENSG00000197249	ENSMUSG00000071177	14	94843084	94857030	SERPINA1	Build 37	14	0	1	1
3580-25	SERPINA1.3580.25.8	SERPINA1.3580.25.5	3580-25_5	SL000249	Alpha-1-antitrypsin	a1-Antitrypsin	P01009	5265	SERPINA1	Human	Protein	ENSG00000197249	ENSMUSG00000021081	14	94843084	94857030	SERPINA1	Build 37	14	0	1	1
3580-25	SERPINA1.3580.25.8	SERPINA1.3580.25.5	3580-25_5	SL000249	Alpha-1-antitrypsin	a1-Antitrypsin	P01009	5265	SERPINA1	Human	Protein	ENSG00000197249	ENSMUSG00000071179	14	94843084	94857030	SERPINA1	Build 37	14	0	1	1
3580-25	SERPINA1.3580.25.8	SERPINA1.3580.25.5	3580-25_5	SL000249	Alpha-1-antitrypsin	a1-Antitrypsin	P01009	5265	SERPINA1	Human	Protein	ENSG00000197249	ENSMUSG00000079015	14	94843084	94857030	SERPINA1	Build 37	14	0	1	1
3585-54	BSG.3585.54.4	BSG.3585.54.6	3585-54_6	SL009341	Basigin	BASI	P35613	682	BSG	Human	Protein	ENSG00000172270	ENSMUSG00000023175	19	571297	583493	BSG	Build 37	19	0	1	1
3607-71	DKK3.3607.71.1	DKK3.3607.71.6	3607-71_6	SL009412	Dickkopf-related protein 3	DKK3	Q9UBP4	27122	DKK3	Human	Protein	ENSG00000050165	ENSMUSG00000030772	11	11984653	12031316	DKK3	Build 37	11	0	1	1
3654-27	BMPER.3654.27.4	BMPER.3654.27.5	3654-27_5	SL007531	BMP-binding endothelial regulator protein	BMPER	Q8N8U9	168667	BMPER	Human	Protein	ENSG00000164619	ENSMUSG00000031963	7	33944523	34195484	BMPER	Build 37	7	0	1	1
4546-27	EMR2.4546.27.3	ADGRE2.4546.27.3	4546-27_3	SL008822	Adhesion G protein-coupled receptor E2	EMR2	Q9UHX3	30817	ADGRE2	Human	Protein	ENSG00000127507	NA	19	14843205	14889353	EMR2	Build 37	19	0	1	1
4551-72	GPR114.4551.72.3	ADGRG5.4551.72.3	4551-72_3	SL014094	Adhesion G-protein coupled receptor G5	GP114	Q8IZF4	221188	ADGRG5	Human	Protein	ENSG00000159618	ENSMUSG00000061577	16	57576333	57625593	GPR114	Build 37	16	0	1	1
6409-57	GPR116.6409.57.3	ADGRF5.6409.57.3	6409-57_3	SL017439	Adhesion G protein-coupled receptor F5	GP116	Q8IZF2	221395	ADGRF5	Human	Protein	ENSG00000069122	ENSMUSG00000056492	6	46820249	46922680	GPR116	Build 37	6	0	1	0
6553-68	CCDC19.6553.68.3	CFAP45.6553.68.3	6553-68_3	SL017495	Cilia- and flagella-associated protein 45	CCD19	Q9UL16	25790	CFAP45	Human	Protein	ENSG00000213085	ENSMUSG00000026546	1	159842154	159869953	CCDC19	Build 37	1	0	1	0
7154-92	C6orf58.7154.92.3	LEG1.7154.92.3	7154-92_3	SL018080	Protein LEG1 homolog	CF058	Q6P5S2	352999	LEG1	Human	Protein	ENSG00000184530	ENSMUSG00000015519	6	127840600	127912962	C6orf58	Build 37	6	0	1	0
7939-1	C3orf55.7939.1.3	PQLC2L.7939.1.3	7939-1_3	SL018334	Putative uncharacterized protein PQLC2L	CC055	A1A4F0	152078	PQLC2L	Human	Protein	ENSG00000174899	NA	3	157261035	157395538	C3orf55	Build 37	3	0	1	0
