Number	SOMAmer SeqID	Analyte	UniProt ID
1	5227-60_3	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	Q15118
2	4179-57_3	14-3-3 protein family	P31946, P62258, P61981, Q04917, P27348, P63104, P31947
3	4829-43_6	14-3-3 protein sigma	P31947
4	4995-16_1	15-hydroxyprostaglandin dehydrogenase [NAD(+)]	P15428
5	4563-61_2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	P19174
6	3898-5_2	26S proteasome non-ATPase regulatory subunit 7	P51665
7	5230-99_3	3-hydroxy-3-methylglutaryl-coenzyme A reductase	P04035
8	4217-49_3	3-hydroxyacyl-CoA dehydrogenase type-2	Q99714
9	4693-72_2	3-hydroxyisobutyrate dehydrogenase, mitochondrial	P31937
10	4460-8_2	3-phosphoinositide-dependent protein kinase 1	O15530
11	5026-66_1	40S ribosomal protein S3	P23396
12	3864-5_2	40S ribosomal protein S7	P62081
13	4957-1_2	40S ribosomal protein SA	P08865
14	2682-68_1	60 kDa heat shock protein, mitochondrial	P10809
15	4187-49_2	6-phosphogluconate dehydrogenase, decarboxylating	P52209
16	4160-49_1	72 kDa type IV collagenase	P08253
17	3174-2_1	A disintegrin and metalloproteinase with thrombospondin motifs 1	Q9UHI8
18	3175-51_5	A disintegrin and metalloproteinase with thrombospondin motifs 13	Q76LX8
19	4533-76_2	A disintegrin and metalloproteinase with thrombospondin motifs 15	Q8TE58
20	2809-25_2	A disintegrin and metalloproteinase with thrombospondin motifs 4	O75173
21	3168-8_2	A disintegrin and metalloproteinase with thrombospondin motifs 5	Q9UNA0
22	5261-13_3	Abelson tyrosine-protein kinase 2	P42684
23	4771-10_3	Acid sphingomyelinase-like phosphodiesterase 3a	Q92484
24	4194-26_3	Acidic leucine-rich nuclear phosphoprotein 32 family member B	Q92688
25	3758-68_3	Activated Protein C	P04070
26	2806-49_2	Activin receptor type-1B	P36896
27	4976-57_1	Adapter molecule crk	P46108
28	5012-67_1	Adenylate kinase isoenzyme 1	P00568
29	5023-23_1	Adenylosuccinate lyase	P30566
30	3554-24_1	Adiponectin	Q15848
31	4535-50_2	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	Q10588
32	4125-52_2	Advanced glycosylation end product-specific receptor, soluble	Q15109
33	4763-31_3	Afamin	P43652
34	4188-1_2	Aflatoxin B1 aldehyde reductase member 2	O43488
35	3280-49_2	Aggrecan core protein	P16112
36	2813-11_2	Agouti-related protein	O00253
37	3839-60_2	AH receptor-interacting protein	O00170
38	3709-4_2	Alanine aminotransferase 1	P24298
39	4192-10_2	Alcohol dehydrogenase [NADP(+)]	P14550
40	2795-23_3	Alkaline phosphatase, tissue-nonspecific isozyme	P05186
41	2849-49_1	Allograft inflammatory factor 1	P55008
42	4549-78_2	Alpha-(1,3)-fucosyltransferase 5	Q11128
43	2879-9_2	Alpha-1-antichymotrypsin	P01011
44	4153-11_2	alpha-1-antichymotrypsin complex	P01011
45	3580-25_8	Alpha-1-antitrypsin	P01009
46	3024-18_2	Alpha-2-antiplasmin	P08697
47	3581-53_3	Alpha-2-HS-glycoprotein	P02765
48	3708-62_1	Alpha-2-macroglobulin	P01023
49	3640-14_3	alpha-2-macroglobulin receptor-associated protein	P30533
50	3169-70_2	alpha-L-iduronidase	P35475
51	4292-5_3	Alpha-soluble NSF attachment protein	P54920
52	3343-1_4	Aminoacylase-1	Q03154
53	5183-53_3	AMP Kinase (alpha1beta1gamma1)	Q13131, Q9Y478, P54619
54	5245-40_5	AMP Kinase (alpha2beta2gamma1)	P54646, O43741, P54619
55	2970-60_2	Amphiregulin	P15514
56	3171-57_2	Amyloid beta A4 protein	P05067
57	4874-3_1	Angiogenin	P03950
58	2811-27_1	Angiopoietin-1	Q15389
59	3773-15_4	Angiopoietin-1 receptor, soluble	Q02763
60	2602-2_2	Angiopoietin-2	O15123
61	2500-2_3	Angiopoietin-4	Q9Y264
62	3281-19_1	Angiopoietin-related protein 3	Q9Y5C1
