"seqid"	"somaid"	"target"	"targetfull"	"chr"	"start"	"end"	"entrezgenesymbol"	"entrezgeneid"	"uniprotid"	"pathways_wiki"	"pathways_pid"	"pathways_uni"	"pathways_reactome"	"pathways_studio"	"ipa_drugs"	"ipa_applications"	"uniprotcomment"	"locus"	"network"
"2182-54_1"	"SL000318"	"C4b"	"Complement C4b"	"6"	"31969570"	"32111862"	"C4A|C4B"	"720|721"	"P0C0L4|P0C0L5"	"Complement Activation, Classical Pathway|SIDS Susceptibility Pathways"	""	""	"Activation of C3 and C5|Initial triggering of complement|Regulation of Complement cascade"	""	""	""	"Non-enzymatic component of C3 and C5 convertases and thus essential for the propagation of the classical complement pathway. Covalently binds to immunoglobulins and immune complexes and enhances the solubilization of immune aggregates and the clearance of IC through CR1 on erythrocytes. C4A isotype is responsible for effective binding to form amide bonds with immune aggregates or protein antigens, while C4B isotype catalyzes the transacylation of the thioester carbonyl group to form ester bonds with carbohydrate antigens.|Non-enzymatic component of the C3 and C5 convertases and thus essential for the propagation of the classical complement pathway. Covalently binds to immunoglobulins and immune complexes and enhances the solubilization of immune aggregates and the clearance of IC through CR1 on erythrocytes. C4A isotype is responsible for effective binding to form amide bonds with immune aggregates or protein antigens, while C4B isotype catalyzes the transacylation of the thioester carbonyl group to form ester bonds with carbohydrate antigens."	"137|379"	"TRUE"
"2190-55_1"	"SL002662"	"Coagulation Factor XI"	"Coagulation Factor XI"	"4"	"186265945"	"186288806"	"F11"	"2160"	"P03951"	"Blood Clotting Cascade"	""	""	"Intrinsic Pathway of Fibrin Clot Formation"	"Coagulation Cascade"	""	""	"Factor XI triggers the middle phase of the intrinsic pathway of blood coagulation by activating factor IX."	"96|164|391"	"TRUE"
"2192-63_10"	"SL003168"	"CTACK"	"C-C motif chemokine 27"	"9"	"34661880"	"34664048"	"CCL27"	"10850"	"Q9Y4X3"	""	""	""	"Chemokine receptors bind chemokines|G alpha (i) signalling events"	""	""	""	"Chemotactic factor that attracts skin-associated memory T-lymphocytes. May play a role in mediating homing of lymphocytes to cutaneous sites. Binds to CCR10."	""	"TRUE"
"2201-17_6"	"SL000403"	"Endostatin"	"Endostatin"	"21"	"45405137"	"45513720"	"COL18A1"	"80781"	"P39060"	""	"Beta1 integrin cell surface interactions|Direct p53 effectors|FOXA1 transcription factor network|Validated nuclear estrogen receptor alpha network"	""	"Activation of Matrix Metalloproteinases|Assembly of collagen fibrils and other multimeric structures|Collagen biosynthesis and modifying enzymes|Collagen degradation|Integrin cell surface interactions|Laminin interactions"	"VEGFR -> AP-1/CREB/MYC signaling|VEGFR -> ATF/CREB/ELK-SRF signaling|VEGFR -> CTNNB signaling|VEGFR -> CTNND signaling|VEGFR -> FOXO3A signaling|VEGFR -> NFATC signaling|VEGFR -> STAT signaling"	"collagenase clostridium histolyticum"	"diagnosis"	"COLA18A probably plays a major role in determining the retinal structure as well as in the closure of the neural tube."	""	"TRUE"
"2211-9_6"	"SL000591"	"TIMP-1"	"Metalloproteinase inhibitor 1"	"X"	"47582313"	"47586789"	"TIMP1"	"7076"	"P01033"	"IL-6 signaling pathway|Matrix Metalloproteinases"	"AP-1 transcription factor network|IL6-mediated signaling events"	""	"Activation of Matrix Metalloproteinases|Platelet degranulation"	"Extracellular Matrix Turnover"	""	"diagnosis|disease progression|efficacy|prognosis|unspecified application"	"Metalloproteinase inhibitor that functions by forming one to one complexes with target metalloproteinases, such as collagenases, and irreversibly inactivates them by binding to their catalytic zinc cofactor. Acts on MMP1, MMP2, MMP3, MMP7, MMP8, MMP9, MMP10, MMP11, MMP12, MMP13 and MMP16. Does not act on MMP14. Also functions as a growth factor that regulates cell differentiation, migration and cell death and activates cellular signaling cascades via CD63 and ITGB1. Plays a role in integrin signaling. Mediates erythropoiesis in vitro; but, unlike IL3, it is species-specific, stimulating the growth and differentiation of only human and murine erythroid progenitors."	""	"TRUE"
"2212-69_1"	"SL000053"	"tPA"	"Tissue-type plasminogen activator"	"8"	"42175233"	"42207724"	"PLAT"	"5327"	"P00750"	"Blood Clotting Cascade|Complement and Coagulation Cascades|Endochondral Ossification|Folate Metabolism|Selenium Pathway|Senescence and Autophagy|Vitamin B12 Metabolism"	"Beta2 integrin cell surface interactions|amb2 Integrin signaling"	""	"Dissolution of Fibrin Clot|Signaling by PDGF"	"Coagulation Cascade"	"6-aminocaproic acid"	"diagnosis|efficacy|prognosis|safety|unspecified application"	"Converts the abundant, but inactive, zymogen plasminogen to plasmin by hydrolyzing a single Arg-Val bond in plasminogen. By controlling plasmin-mediated proteolysis, it plays an important role in tissue remodeling and degradation, in cell migration and many other physiopathological events. Plays a direct role in facilitating neuronal migration."	""	"TRUE"
"2247-20_11"	"SL004332"	"EG-VEGF"	"Prokineticin-1"	"1"	"110451200"	"110457354"	"PROK1"	"84432"	"P58294"	""	""	""	"G alpha (q) signalling events|Peptide ligand-binding receptors"	""	""	""	"Potently contracts gastrointestinal (GI) smooth muscle. Induces proliferation, migration and fenestration (the formation of membrane discontinuities) in capillary endothelial cells derived from endocrine glands. Has little or no effect on a variety of other endothelial and non-endothelial cell types. Induces proliferation and differentiation, but not migration, of enteric neural crest cells. Directly influences neuroblastoma progression by promoting the proliferation and migration of neuroblastoma cells. Positively regulates PTGS2 expression and prostaglandin synthesis. May play a role in placentation. May play a role in normal and pathological testis angiogenesis."	""	"TRUE"
"2278-61_4"	"SL000592"	"TIMP-2"	"Metalloproteinase inhibitor 2"	"17"	"78852977"	"78925387"	"TIMP2"	"7077"	"P16035"	"Angiogenesis|Matrix Metalloproteinases|angiogenesis overview"	""	""	"Activation of Matrix Metalloproteinases"	"Extracellular Matrix Turnover"	""	"efficacy|unspecified application"	"Complexes with metalloproteinases (such as collagenases) and irreversibly inactivates them by binding to their catalytic zinc cofactor. Known to act on MMP-1, MMP-2, MMP-3, MMP-7, MMP-8, MMP-9, MMP-10, MMP-13, MMP-14, MMP-15, MMP-16 and MMP-19."	""	"TRUE"
"2333-72_1"	"SL000584"	"TGF-b1"	"Transforming growth factor beta-1"	"19"	"41301587"	"41353911"	"TGFB1"	"7040"	"P01137"	"ACE Inhibitor Pathway|Adipogenesis|Cell cycle|Cytokines and Inflammatory Response|DNA damage response (only ATM dependent)|Endochondral Ossification|Epithelium TarBase|IL-3 Signaling Pathway|Leukocyte TarBase|Lymphocyte TarBase|MAPK signaling pathway|MicroRNAs in cardiomyocyte hypertrophy|Proteins and DNA Sequences in Cardicac Structures|Senescence and Autophagy|Squamous cell  TarBase|TCR Signaling Pathway|TFs Regulate miRNAs related to cardiac hypertrophy|TGF Beta Signaling Pathway|TGF beta Signaling Pathway"	"ALK1 signaling events|AP-1 transcription factor network|Glypican 1 network|IL12 signaling mediated by STAT4|IL27-mediated signaling events|RXR and RAR heterodimerization with other nuclear receptor|Regulation of Telomerase|Syndecan-1-mediated signaling events|Syndecan-2-mediated signaling events|TGF-beta receptor signaling|Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling"	""	"Downregulation of TGF-beta receptor signaling|ECM proteoglycans|Influenza Virus Induced Apoptosis|Molecules associated with elastic fibres|Platelet degranulation|SMAD2/3 MH2 Domain Mutants in Cancer|SMAD2/3 Phosphorylation Motif Mutants in Cancer|Syndecan interactions|TGF-beta receptor signaling activates SMADs|TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)|TGFBR1 KD Mutants in Cancer|TGFBR1 LBD Mutants in Cancer|TGFBR2 Kinase Domain Mutants in Cancer|TGFBR2 MSI Frameshift Mutants in Cancer|Transcriptional regulation of white adipocyte differentiation"	"Activation of Immunoglobulin Class-Switch Recombination|Cell Cycle|MDK/PTN Expression Targets|Regulatory T-cell Differentiation|TGFBR -> AP-1 signaling|TGFBR -> ATF/GADD/MAX/TP53 signaling|TGFBR -> CREB/ELK-SRF signaling|TGFBR -> MEF/MYOD/MYOG signaling|TGFBR -> SMAD1/5/9 signaling|TGFBR/BMPR -> SMAD2/3 signaling|TLR4 Signaling in Leukocytes|Th17 Cell Differentiation"	""	"diagnosis|efficacy|prognosis|safety|unspecified application"	"Multifunctional protein that controls proliferation, differentiation and other functions in many cell types. Many cells synthesize TGFB1 and have specific receptors for it. It positively and negatively regulates many other growth factors. It plays an important role in bone remodeling as it is a potent stimulator of osteoblastic bone formation, causing chemotaxis, proliferation and differentiation in committed osteoblasts. Can promote either T-helper 17 cells (Th17) or regulatory T-cells (Treg) lineage differentiation in a concentration-dependent manner. At high concentrations, leads to FOXP3-mediated suppression of RORC and down-regulation of IL-17 expression, favoring Treg cell development. At low concentrations in concert with IL-6 and IL-21, leads to expression of the IL-17 and IL-23 receptors, favoring differentiation to Th17 cells. Mediates SMAD2/3 activation by inducing its phosphorylation and subsequent translocation to the nucleus (PubMed:25893292). Can induce epithelial-to-mesenchymal transition (EMT) and cell migration in various cell types (PubMed:25893292)."	""	"TRUE"
"2358-19_2"	"SL003322"	"VEGF sR3"	"Vascular endothelial growth factor receptor 3"	"5"	"180601506"	"180649624"	"FLT4"	"2324"	"P35916"	""	"VEGF and VEGFR signaling network|VEGFR3 signaling in lymphatic endothelium"	""	"VEGF binds to VEGFR leading to receptor dimerization"	"VEGFR -> AP-1/CREB/MYC signaling|VEGFR -> ATF/CREB/ELK-SRF signaling|VEGFR -> CTNNB signaling|VEGFR -> FOXO3A signaling"	"sunitinib|pazopanib|axitinib|CEP 7055|tivozanib|motesanib|telatinib|cabozantinib|nintedanib|regorafenib|bortezomib/sorafenib|dexamethasone/lenalidomide/sorafenib|bevacizumab/sorafenib|cabozantinib/erlotinib|sorafenib|vandetanib"	"diagnosis|disease progression|efficacy|prognosis"	"Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFC and VEGFD, and plays an essential role in adult lymphangiogenesis and in the development of the vascular network and the cardiovascular system during embryonic development. Promotes proliferation, survival and migration of endothelial cells, and regulates angiogenic sprouting. Signaling by activated FLT4 leads to enhanced production of VEGFC, and to a lesser degree VEGFA, thereby creating a positive feedback loop that enhances FLT4 signaling. Modulates KDR signaling by forming heterodimers. The secreted isoform 3 may function as a decoy receptor for VEGFC and/or VEGFD and play an important role as a negative regulator of VEGFC-mediated lymphangiogenesis and angiogenesis. Binding of vascular growth factors to isoform 1 or isoform 2 leads to the activation of several signaling cascades; isoform 2 seems to be less efficient in signal transduction, because it has a truncated C-terminus and therefore lacks several phosphorylation sites. Mediates activation of the MAPK1/ERK2, MAPK3/ERK1 signaling pathway, of MAPK8 and the JUN signaling pathway, and of the AKT1 signaling pathway. Phosphorylates SHC1. Mediates phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase. Promotes phosphorylation of MAPK8 at 'Thr-183' and 'Tyr-185', and of AKT1 at 'Ser-473'."	"28|52|69|360|429"	"TRUE"
