Number	SOMAmer SeqID	Analyte Name	UniProt ID
1	5227-60_3	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	Q15118
2	14156-33_3	14-3-3 protein beta/alpha	P31946
3	14157-21_3	14-3-3 protein epsilon	P62258
4	4179-57_3	14-3-3 protein family	P31946, P62258, P61981, Q04917, P27348, P63104, P31947
5	4829-43_6	14-3-3 protein sigma	P31947
6	7625-27_3	14-3-3 protein theta	P27348
7	5858-6_5	14-3-3 protein zeta/delta	P63104
8	4995-16_1	15-hydroxyprostaglandin dehydrogenase [NAD(+)]	P15428
9	4563-61_2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	P19174
10	10361-25_3	2'-5'-oligoadenylate synthase 1	P00973
11	3898-5_2	26S proteasome non-ATPase regulatory subunit 7	P51665
12	5230-99_3	3-hydroxy-3-methylglutaryl-coenzyme A reductase	P04035
13	4217-49_3	3-hydroxyacyl-CoA dehydrogenase type-2	Q99714
14	5861-78_3	3-hydroxyanthranilate 3,4-dioxygenase	P46952
15	4693-72_2	3-hydroxyisobutyrate dehydrogenase, mitochondrial	P31937
16	4460-8_2	3-phosphoinositide-dependent protein kinase 1	O15530
17	5026-66_1	40S ribosomal protein S3	P23396
18	5484-63_3	40S ribosomal protein S3a	P61247
19	3864-5_2	40S ribosomal protein S7	P62081
20	4957-1_2	40S ribosomal protein SA	P08865
21	2682-68_1	60 kDa heat shock protein, mitochondrial	P10809
22	4187-49_2	6-phosphogluconate dehydrogenase, decarboxylating	P52209
23	4160-49_1	72 kDa type IV collagenase	P08253
24	3174-2_1	A disintegrin and metalloproteinase with thrombospondin motifs 1	Q9UHI8
25	3175-51_5	A disintegrin and metalloproteinase with thrombospondin motifs 13	Q76LX8
26	4533-76_2	A disintegrin and metalloproteinase with thrombospondin motifs 15	Q8TE58
27	2809-25_2	A disintegrin and metalloproteinase with thrombospondin motifs 4	O75173
28	3168-8_2	A disintegrin and metalloproteinase with thrombospondin motifs 5	Q9UNA0
29	5261-13_3	Abelson tyrosine-protein kinase 2	P42684
30	4771-10_3	Acid sphingomyelinase-like phosphodiesterase 3a	Q92484
31	4194-26_3	Acidic leucine-rich nuclear phosphoprotein 32 family member B	Q92688
32	3758-68_3	Activated Protein C	P04070
33	2806-49_2	Activin receptor type-1B	P36896
34	4976-57_1	Adapter molecule crk	P46108
35	5012-67_1	Adenylate kinase isoenzyme 1	P00568
36	5023-23_1	Adenylosuccinate lyase	P30566
37	4546-27_3	Adhesion G protein-coupled receptor E2	Q9UHX3
38	4551-72_3	Adhesion G-protein coupled receptor G5	Q8IZF4
39	3554-24_1	Adiponectin	Q15848
40	11513-92_3	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	P28907
41	4535-50_2	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	Q10588
42	14115-34_3	Adrenomedullin	P35318
43	4125-52_2	Advanced glycosylation end product-specific receptor, soluble	Q15109
44	4763-31_3	Afamin	P43652
45	4188-1_2	Aflatoxin B1 aldehyde reductase member 2	O43488
46	3280-49_2	Aggrecan core protein	P16112
47	2813-11_2	Agouti-related protein	O00253
48	3839-60_2	AH receptor-interacting protein	O00170
49	3709-4_2	Alanine aminotransferase 1	P24298
50	4192-10_2	Alcohol dehydrogenase [NADP(+)]	P14550
51	2795-23_3	Alkaline phosphatase, tissue-nonspecific isozyme	P05186
52	2849-49_1	Allograft inflammatory factor 1	P55008
53	4549-78_2	Alpha-(1,3)-fucosyltransferase 5	Q11128
54	2879-9_2	Alpha-1-antichymotrypsin	P01011
55	4153-11_2	Alpha-1-antichymotrypsin complex	P01011
56	3580-25_8	Alpha-1-antitrypsin	P01009
57	3024-18_2	Alpha-2-antiplasmin	P08697
58	3581-53_3	Alpha-2-HS-glycoprotein	P02765
59	3708-62_1	Alpha-2-macroglobulin	P01023
60	3640-14_3	alpha-2-macroglobulin receptor-associated protein	P30533
61	11105-171_3	Alpha-enolase	P06733
62	5792-8_2	alpha-Fetoprotein	P02771
63	3169-70_2	Alpha-L-iduronidase	P35475
64	4292-5_3	Alpha-soluble NSF attachment protein	P54920
65	8458-111_3	Alpha-synuclein	P37840
66	3343-1_4	Aminoacylase-1	Q03154
67	5183-53_3	AMP Kinase (alpha1beta1gamma1)	Q13131 Q9Y478 P54619
68	5245-40_5	AMP Kinase (alpha2beta2gamma1)	P54646 O43741 P54619
69	2970-60_2	Amphiregulin	P15514
70	14134-49_3	Amphoterin-induced protein 2	Q86SJ2
71	3171-57_2	Amyloid beta A4 protein	P05067
72	4874-3_1	Angiogenin	P03950
73	2811-27_1	Angiopoietin-1	Q15389
74	3773-15_4	Angiopoietin-1 receptor, soluble	Q02763
75	2602-2_2	Angiopoietin-2	O15123
76	2500-2_3	Angiopoietin-4	Q9Y264
77	3281-19_1	Angiopoietin-related protein 3	Q9Y5C1
