AptamerId	SomaId	Target	TargetFullName	UniProt	EntrezGeneID	EntrezGeneSymbol
4829-43	SL001737	STRATIFIN	14-3-3 protein sigma	P31947	2810	SFN
3804-66	SL007403	DMP1	Dentin matrix acidic phosphoprotein 1	Q13316	1758	DMP1
3814-63	SL007423	IL-11 RA	Interleukin-11 receptor subunit alpha	Q14626	3590	IL11RA
14156-33	SL004815	14-3-3 protein beta/alpha	14-3-3 protein beta/alpha	P31946	7529	YWHAB
7625-27	SL008071	14-3-3 protein theta	14-3-3 protein theta	P27348	10971	YWHAQ
5858-6	SL005688	14-3-3 protein zeta/delta	14-3-3 protein zeta/delta	P63104	7534	YWHAZ
14157-21	SL004984	14-3-3E	14-3-3 protein epsilon	P62258	7531	YWHAE
5861-78	SL008466	3HAO	3-hydroxyanthranilate 3,4-dioxygenase	P46952	23498	HAAO
5792-8	SL000011	AFP	alpha-Fetoprotein	P02771	174	AFP
14134-49	SL015046	AMGO2	Amphoterin-induced protein 2	Q86SJ2	347902	AMIGO2
7624-19	SL014896	ANK2	Ankyrin-2	Q01484	287	ANK2
9202-309	SL008113	ATPO	ATP synthase subunit O, mitochondrial	P48047	539	ATP5O
14115-34	SL002782	Adrenomedullin	Adrenomedullin	P35318	133	ADM
11105-171	SL003650	Alpha enolase	Alpha-enolase	P06733	2023	ENO1
14158-17	SL003848	Annexin V	Annexin A5	P08758	308	ANXA5
11510-31	SL005699	Apo L1	Apolipoprotein L1	O14791	8542	APOL1
14125-5	SL004747	ApoM	Apolipoprotein M	O95445	55937	APOM
13097-11	SL003774	Apoptosis regulator Bcl-W	Bcl-2-like protein 2	Q92843	599	BCL2L2
5870-23	SL003700	BAD	Bcl2-associated agonist of cell death	Q92934	572	BAD
13111-79	SL007223	BCL6	B-cell lymphoma 6 protein	P41182	604	BCL6
5798-3	SL003704	BID	BH3-interacting domain death agonist	P55957	637	BID
13088-397	SL000137	BTC	Betacellulin	P35070	685	BTC
14136-234	SL007696	C1QR1	Complement component C1q receptor	Q9NPY3	22918	CD93
9212-22	SL008381	CATF	Cathepsin F	Q9UBX1	8722	CTSF
13116-25	SL008931	CD177	CD177 antigen	Q8N6Q3	57126	CD177
5063-12	SL014188	CD244	Natural killer cell receptor 2B4	Q9BZW8	51744	CD244
11513-92	SL002722	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	P28907	952	CD38
6653-58	SL004838	CD47	Leukocyte surface antigen CD47	Q08722	961	CD47
11514-196	SL004557	CD59	CD59 glycoprotein	P13987	966	CD59
9190-7	SL008837	CD63	CD63 antigen	P08962	967	CD63
5065-8	SL014229	CD83	CD83 antigen	Q01151	9308	CD83
10337-83	SL007136	CEBPB	CCAAT/enhancer-binding protein beta	P17676	1051	CEBPB
10336-3	SL019100	CHIP	E3 ubiquitin-protein ligase CHIP	Q9UNE7	10273	STUB1
13117-232	SL018256	CHKB	Choline/ethanolamine kinase	Q9Y259	1120	CHKB
7628-40	SL012774	CREL1	Cysteine-rich with EGF-like domain protein 1	Q96HD1	78987	CRELD1
13103-125	SL009328	CSH	Chorionic somatomammotropin hormone	P0DML2 P0DML3	1442 1443	CSH1 CSH2
9171-11	SL016969	CSRP3	Cysteine and glycine-rich protein 3	P50461	8048	CSRP3
8476-11	SL002762	CgA	Chromogranin-A	P10645	1113	CHGA
9204-33	SL009210	Corticotropin-lipotropin	Pro-opiomelanocortin	P01189	5443	POMC
13126-52	SL008631	DSC2	Desmocollin-2	Q02487	1824	DSC2
9175-48	SL018891	DSCAM	Down syndrome cell adhesion molecule	O60469	1826	DSCAM
13104-32	SL008614	EFNB1	Ephrin-B1	P98172	1947	EFNB1
14131-37	SL007274	EFNB2	Ephrin-B2	P52799	1948	EFNB2
5509-7	SL000084	EGF	Epidermal growth factor	P01133	1950	EGF
5328-33	SL016828	EGFRvIII	Epidermal growth factor receptor variant III	P00533	NA	EGFR
9168-31	SL003170	Eotaxin-3	C-C motif chemokine 26	Q9Y258	10344	CCL26
14124-6	SL004843	Ephrin-A2	Ephrin-A2	O43921	1943	EFNA2
14153-8	SL004139	Ephrin-A3	Ephrin-A3	P52797	1944	EFNA3
11516-7	SL006131	FABPL	Fatty acid-binding protein, liver	P07148	2168	FABP1
9177-6	SL007306	FAM3B	Protein FAM3B	P58499	54097	FAM3B
13102-1	SL012769	FAM3D	Protein FAM3D	Q96BQ1	131177	FAM3D
8480-29	SL006527	FBLN3	EGF-containing fibulin-like extracellular matrix protein 1	Q12805	2202	EFEMP1
13122-19	SL008360	FLRT2	Leucine-rich repeat transmembrane protein FLRT2	O43155	23768	FLRT2
13123-3	SL008372	FLRT3	Leucine-rich repeat transmembrane protein FLRT3	Q9NZU0	23767	FLRT3
13112-179	SL009349	FSTL1	Follistatin-related protein 1	Q12841	11167	FSTL1
9213-24	SL018900	FTCD	Formimidoyltransferase-cyclodeaminase	O95954	10841	FTCD
5392-73	SL002731	Fas, soluble	Tumor necrosis factor receptor superfamily member 6	P25445	355	FAS
12060-28	SL004345	GDF-11	Growth/differentiation factor 11	O95390	10220	GDF11
5822-22	SL004248	GDNF	Glial cell line-derived neurotrophic factor	P39905	2668	GDNF
14123-34	SL017424	GI24	Platelet receptor Gi24	Q9H7M9	NA	C10orf54
5350-14	SL012881	GPC6	Glypican-6	Q9Y625	10082	GPC6
11081-1	SL007151	GPDA	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	P21695	2819	GPD1
5464-52	SL003792	GRB2 adapter protein	Growth factor receptor-bound protein 2	P62993	2885	GRB2
9196-8	SL005166	Galectin-7	Galectin-7	P47929	3963	LGALS7
5897-58	SL002071	Gastrin-releasing peptide	Gastrin-releasing peptide	P07492	2922	GRP
14144-3	SL019979	H2A3	Histone H2A type 3	Q7L7L0	NA	HIST3H2A
14143-8	SL014983	H2B2E	Histone H2B type 2-E	Q16778	8349	HIST2H2BE
14146-92	SL008158	H31	Histone H3.1	P68431	8350	HIST1H3A
11096-57	SL018921	HEMK2	HemK methyltransferase family member 2	Q9Y5N5	29104	N6AMT1
8462-18	SL000442	HGH	Somatotropin	P01241	2688	GH1
14132-21	SL020171	HHLA2	HERV-H LTR-associating protein 2	Q9UM44	NA	HHLA2
13089-6	SL003349	HIF-1a	Hypoxia-inducible factor 1-alpha	Q16665	3091	HIF1A
9187-2	SL013165	HMGN1	Non-histone chromosomal protein HMG-14	P05114	3150	HMGN1
11103-24	SL000448	HSP 27	Heat shock protein beta-1	P04792	3315	HSPB1
5467-15	SL000454	HSP 90b	Heat shock protein HSP 90-beta	P08238	3326	HSP90AB1
13131-5	SL011180	HXK1	Hexokinase-1	P19367	3098	HK1
13130-150	SL007272	HXK2	Hexokinase-2	P52789	3099	HK2
9183-7	SL004475	IFN-a/b R1	Interferon alpha/beta receptor 1	P17181	3454	IFNAR1
14127-240	SL001880	IFN-b	Interferon beta	P01574	3456	IFNB1
14128-121	SL017106	IFN10	Interferon alpha-10	P01566	3446	IFNA10
14129-1	SL019978	IFNA7	Interferon alpha-7	P01567	NA	IFNA7
14133-93	SL000145	IL-1 sRII	Interleukin-1 receptor type 2	P27930	7850	IL1R2
10344-334	SL005173	IL-10 Ra	Interleukin-10 receptor subunit alpha	Q13651	3587	IL10RA
14150-7	SL005177	IL-1F6	Interleukin-36 alpha	Q9UHA7	27179	IL36A
14149-9	SL005179	IL-1F8	Interleukin-36 beta	Q9NZH7	27177	IL36B
5353-89	SL001990	IL-1Ra	Interleukin-1 receptor antagonist protein	P18510	3557	IL1RN
5834-18	SL000485	IL-9	Interleukin-9	P15248	3578	IL9
9180-6	SL007217	INGR2	Interferon gamma receptor 2	P38484	3460	IFNGR2
10351-51	SL007108	IRF1	Interferon regulatory factor 1	P10914	3659	IRF1
13124-20	SL018587	ISLR2	Immunoglobulin superfamily containing leucine-rich repeat protein 2	Q6UXK2	57611	ISLR2
11089-7	SL000459	IgA	Immunoglobulin A	P01876 P01877	3493 3494	IGHA1 IGHA2
8485-7	SL017529	KEAP1	Kelch-like ECH-associated protein 1	Q14145	9817	KEAP1
13129-40	SL007070	LDLR	Low-density lipoprotein receptor	P01130	3949	LDLR
9197-4	SL008486	LEG9	Galectin-9	O00182	3965	LGALS9
11094-104	SL007361	LPPL	Galectin-10	Q05315	1178	CLC
7640-29	SL013872	LRP1B	Low-density lipoprotein receptor-related protein 1B	Q9NZR2	53353	LRP1B
10990-21	SL017128	LRRK2	Leucine-rich repeat serine/threonine-protein kinase 2	Q5S007	NA	LRRK2
13133-73	SL007033	LTBP4	Latent-transforming growth factor beta-binding protein 4	Q8N2S1	8425	LTBP4
13107-9	SL008402	LYPD3	Ly6/PLAUR domain-containing protein 3	O95274	27076	LYPD3
7638-30	SL005403	Lectin, mannose-binding 2	Vesicular integral-membrane protein VIP36	Q12907	10960	LMAN2
13114-50	SL006230	Lumican	Lumican	P51884	4060	LUM
4374-45	SL003869	MIC-1	Growth/differentiation factor 15	Q99988	9518	GDF15
9188-119	SL003188	MIG	C-X-C motif chemokine 9	Q07325	4283	CXCL9
6151-18	SL007242	MP2K3	Dual specificity mitogen-activated protein kinase kinase 3	P46734	5606	MAP2K3
9176-3	SL000001	MUC1	Mucin-1	P15941	4582	MUC1
7648-9	SL017328	MYPC1	Myosin-binding protein C, slow-type	Q00872	4604	MYBPC1
10358-33	SL003755	Mcl-1	Induced myeloid leukemia cell differentiation protein Mcl-1	Q07820	4170	MCL1
14583-49	SL004357	Myostatin	Growth/differentiation factor 8	O14793	2660	MSTN
7655-11	SL002785	N-terminal pro-BNP	N-terminal pro-BNP	P16860	4879	NPPB
13109-82	SL008810	NEGR1	Neuronal growth regulator 1	Q7Z3B1	257194	NEGR1
6649-51	SL012395	NET1	Netrin-1	O95631	9423	NTN1
