Sequence ID	Full Name	Target Name	UniProt ID	Entrez Gene Name
10000-28	Beta-crystallin B2	CRBB2	P43320	CRYBB2
10001-7	RAF proto-oncogene serine/threonine-protein kinase	c-Raf	P04049	RAF1
10003-15	Zinc finger protein 41	ZNF41	P51814	ZNF41
10006-25	ETS domain-containing protein Elk-1	ELK1	P19419	ELK1
10008-43	Guanylyl cyclase-activating protein 1	GUC1A	P43080	GUCA1A
10010-10	Beclin-1	BECN1	Q14457	BECN1
10011-65	Inositol polyphosphate 5-phosphatase OCRL-1	OCRL	Q01968	OCRL
10012-5	SAM pointed domain-containing Ets transcription factor	SPDEF	O95238	SPDEF
10014-31	Zinc finger protein SNAI2	SLUG	O43623	SNAI2
10015-119	Voltage-gated potassium channel subunit beta-2	KCAB2	Q13303	KCNAB2
10022-207	DNA polymerase eta	POLH	Q9Y253	POLH
10023-32	Vitamin D3 receptor	VDR	P11473	VDR
10024-44	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	HOGA1	Q86XE5	HOGA1
10025-1	Dihydrolipoyl dehydrogenase, mitochondrial	DLDH	P09622	DLD
10030-8	Adenine DNA glycosylase	MutY homolog	Q9UIF7	MUTYH
10035-6	Dual specificity protein phosphatase 4	DUS4	Q13115	DUSP4
10036-201	Zinc fingers and homeoboxes protein 3	ZHX3	Q9H4I2	ZHX3
10037-98	Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long	SIG12:Ig-like V-type 2	Q96PQ1	SIGLEC12
10039-32	Purine nucleoside phosphorylase	PNP	P00491	PNP
10040-63	Tumor protein 63	P73L	Q9H3D4	TP63
10041-3	Hepatocyte nuclear factor 4-alpha	HNF4A	P41235	HNF4A
10042-8	Serine/threonine-protein kinase Sgk3	SGK3	Q96BR1	SGK3
10043-31	Bromodomain-containing protein 4	BRD4	O60885	BRD4
10044-12	Protein Wnt-10a	WN10A	Q9GZT5	WNT10A
10045-47	Cullin-3	CUL3	Q13618	CUL3
10046-55	Baculoviral IAP repeat-containing protein 2	cIAP-1	Q13490	BIRC2
10047-12	Neutrophil cytosol factor 2	NCF-2	P19878	NCF2
10047-7	Neutrophil cytosol factor 2	NCF-2	P19878	NCF2
10048-7	Core-binding factor subunit beta	PEBB	Q13951	CBFB
10049-112	Telomeric repeat-binding factor 1	TERF1	P54274	TERF1
10053-5	Integrin-linked protein kinase	ILK1	Q13418	ILK
10054-3	Gigaxonin	GAN	Q9H2C0	GAN
10056-5	Forkhead box protein M1	FOXM1	Q08050	FOXM1
10058-1	UV excision repair protein RAD23 homolog A	RD23A	P54725	RAD23A
10063-10	E3 ubiquitin-protein ligase FANCL	FANCL	Q9NW38	FANCL
10064-12	Putative hydrolase RBBP9	RBBP9	O75884	RBBP9
10069-2	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	PIN1	Q13526	PIN1
10070-22	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	PLCG2	P16885	PLCG2
10073-22	Tyrosyl-DNA phosphodiesterase 1	TYDP1	Q9NUW8	TDP1
10074-128	Bromodomain-containing protein 2	BRD2	P25440	BRD2
10075-75	Acyl-CoA-binding domain-containing protein 6	ACBD6	Q9BR61	ACBD6
10076-1	AP-4 complex subunit mu-1	AP4M1	O00189	AP4M1
10078-5	BAG family molecular chaperone regulator 3	BAG3	O95817	BAG3
10080-9	Translation initiation factor eIF-2B subunit alpha	EI2BA	Q14232	EIF2B1
10081-17	DNA-binding protein SATB2	SATB2	Q9UPW6	SATB2
10082-251	Neurofilament light polypeptide	NFL	P07196	NEFL
10085-25	Steroidogenic acute regulatory protein, mitochondrial	STAR	P49675	STAR
10086-39	Cystathionine beta-synthase	CBS	P35520	CBS
10087-10	Alpha-crystallin A chain	Alpha crystallin A chain	P02489	CRYAA
10088-37	Adenine phosphoribosyltransferase	APT	P07741	APRT
10089-7	N-acetylserotonin O-methyltransferase-like protein	ASML	O95671	ASMTL
10336-3	E3 ubiquitin-protein ligase CHIP	CHIP	Q9UNE7	STUB1
10339-48	Gamma-enolase	NSE	P09104	ENO2
10342-55	E3 SUMO-protein ligase PIAS4	PIAS4	Q8N2W9	PIAS4
10344-334	Interleukin-10 receptor subunit alpha	IL-10 Ra	Q13651	IL10RA
10346-5	Signal transducer and activator of transcription 3	STAT3	P40763	STAT3
10351-51	Interferon regulatory factor 1	IRF1	P10914	IRF1
10354-57	Signal transducer and activator of transcription 3	STAT3	P40763	STAT3
10356-21	Transcription factor AP-1	c-Jun	P05412	JUN
10361-25	2'-5'-oligoadenylate synthase 1	OAS1	P00973	OAS1
10362-35	Myc proto-oncogene protein	c-Myc	P01106	MYC
10363-13	Mothers against decapentaplegic homolog 3	SMAD3	P84022	SMAD3
10364-6	Mothers against decapentaplegic homolog 2	SMAD2	Q15796	SMAD2
10365-132	Interleukin-23	IL-23	P29460 | Q9NPF7	IL12B | IL23A
10366-11	Platelet-derived growth factor receptor alpha	PDGFRA	P16234	PDGFRA
10367-62	Interleukin-12	IL-12	P29459 | P29460	IL12A | IL12B
10370-21	Signal transducer and activator of transcription 1-alpha/beta	STAT1	P42224	STAT1
10372-18	Signal transducer and activator of transcription 6	STAT6	P42226	STAT6
10382-1	Angiopoietin-related protein 3	ANGL3	Q9Y5C1	ANGPTL3
10387-1	Natriuretic peptides B	BNP	P16860	NPPB
10390-21	E3 ubiquitin-protein ligase ZNRF3	ZNRF3	Q9ULT6	ZNRF3
10391-1	Angiopoietin-related protein 3	ANGL3	Q9Y5C1	ANGPTL3
10396-6	Induced myeloid leukemia cell differentiation protein Mcl-1	Mcl-1	Q07820	MCL1
10398-110	Ankyrin repeat domain-containing protein 1	ANKR1	Q15327	ANKRD1
10418-36	Syntaxin-12	STX12	Q86Y82	STX12
10419-1	Scavenger receptor class A member 5	SCAR5	Q6ZMJ2	SCARA5
10420-30	Fas apoptotic inhibitory molecule 1	FAIM1	Q9NVQ4	FAIM
10424-31	Neural proliferation differentiation and control protein 1	NPDC1	Q9NQX5	NPDC1
10425-3	Beta-1,4-galactosyltransferase 5	B4GT5	O43286	B4GALT5
10426-21	Golgi SNAP receptor complex member 2	GOSR2	O14653	GOSR2
10428-1	Killer cell immunoglobulin-like receptor 2DS2	KI2S2	P43631	KIR2DS2
10430-31	4F2 cell-surface antigen heavy chain:Cytoplasmic domain	4F2:CD	P08195	SLC3A2
10432-3	Uncharacterized protein KIAA1644	K1644	Q3SXP7	SHISAL1
10435-2	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	ASPG	P20933	AGA
10438-19	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2R	P15509	CSF2RA
10439-57	Alpha-amylase 2B	Alpha-amylase 2B	P19961	AMY2B
10440-26	CXADR-like membrane protein:Extracellular domain	ACAM:ECD	Q9H6B4	CLMP
10442-1	Transmembrane protein 190	TM190	Q8WZ59	TMEM190
10445-20	Apolipoprotein M	ApoM	O95445	APOM
10447-18	Polyadenylate-binding protein 3	PABP3	Q9H361	PABPC3
10449-31	Protein shisa-2 homolog	TMM46	Q6UWI4	SHISA2
10451-11	Nucleobindin-1	NUCB1	Q02818	NUCB1
10453-7	Carcinoembryonic antigen-related cell adhesion molecule 20	CEA20	Q6UY09	CEACAM20
10454-99	DnaJ homolog subfamily C member 16	DJC16	Q9Y2G8	DNAJC16
10455-196	Interleukin-31	IL-31	Q6EBC2	IL31
10457-3	Interleukin-18 receptor accessory protein	IL-18 Rb	O95256	IL18RAP
10460-1	Chitotriosidase-1	Chitotriosidase-1	Q13231	CHIT1
10462-14	Insulin-like peptide INSL5	INSL5	Q9Y5Q6	INSL5
10463-23	Intestinal-type alkaline phosphatase	Alkaline phosphatase, intestine	P09923	ALPI
10464-6	Anthrax toxin receptor 1	ANTR1	Q9H6X2	ANTXR1
10470-34	Thioredoxin domain-containing protein 11:C-term	TXD11:N-term	Q6PKC3	TXNDC11
10472-53	Tumor necrosis factor receptor superfamily member 14	HVEM	Q92956	TNFRSF14
10473-2	Trefoil factor 2	Trefoil factor 2	Q03403	TFF2
10479-18	Stromelysin-2	MMP-10	P09238	MMP10
10480-33	CD59 glycoprotein	CD59	P13987	CD59
10485-56	Melanoma-associated antigen 4	MAGE-4	P43358	MAGEA4
10490-3	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain	RPN1:CD	P04843	RPN1
10496-11	Calcium-activated chloride channel regulator 1	CaCC	A8K7I4	CLCA1
10499-1	Transmembrane protein 106A	T106A	Q96A25	TMEM106A
10505-12	E3 ubiquitin-protein ligase RNF43	RNF43	Q68DV7	RNF43
10506-53	Membrane-associated progesterone receptor component 2	PGRC2	O15173	PGRMC2
10507-166	Acrosomal protein SP-10	sperm protein 10	P26436	ACRV1
10510-62	SLP adapter and CSK-interacting membrane protein	SCIMP	Q6UWF3	SCIMP
10511-10	Collagen alpha-3(VI) chain:isoform 3	Collagen alpha-3(VI):isoform 3	P12111	COL6A3
10512-13	Cytokine receptor common subunit beta:Extracellular domain	IL3RB:ECD	P32927	CSF2RB
10513-13	Calsenilin	CSEN	Q9Y2W7	KCNIP3
10514-5	Prostaglandin-H2 D-isomerase	PGD2 synthase	P41222	PTGDS
10521-10	Matrix-remodeling-associated protein 8:Extracellular domain	MXRA8:ECD	Q9BRK3	MXRA8
10527-22	ATP-dependent RNA helicase A	DHX9	Q08211	DHX9
10528-2	Dipeptidase 1	DPEP1	P16444	DPEP1
10530-8	Proteasome subunit beta type-6	PSB6	P28072	PSMB6
10531-18	GTPase NRas	RASN	P01111	NRAS
10534-40	Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian	PARP:BRCT domain	P09874	PARP1
10535-25	Cytochrome c oxidase subunit 6A2, mitochondrial	CX6A2	Q02221	COX6A2
10539-30	CD99 antigen-like protein 2	C99L2	Q8TCZ2	CD99L2
10546-2	Thrombospondin-type laminin G domain and EAR repeat-containing protein	TSEAR	Q8WU66	TSPEAR
10550-37	Bone morphogenetic protein receptor type-1B	BMP RIB	O00238	BMPR1B
10551-7	Linker for activation of T-cells family member 1	LAT	O43561	LAT
